Order_Added,valid_AphiaID,length_cm,diameter_width_cm,height_cm,Notes,Size_Ref,Date_Added,Biological_Unit,Is_Ref_DOI,Sex,Specimen_Type
101060,574348,NA,0.24,0.37,NA,"{Verhecken, 2011 #712}",8/7/23,solitary,FALSE,Unknown,Unknown
101061,574352,NA,0.36,0.75,NA,"{Verhecken, 2011 #712}",8/7/23,solitary,FALSE,Unknown,Unknown
101062,574354,NA,0.48,0.65,NA,"{Verhecken, 2011 #712}",8/7/23,solitary,FALSE,Unknown,Unknown
101063,574355,NA,0.29,0.55,NA,"{Verhecken, 2011 #712}",8/7/23,solitary,FALSE,Unknown,Unknown
101064,574356,NA,0.23,0.35,NA,"{Verhecken, 2011 #712}",8/7/23,solitary,FALSE,Unknown,Unknown
101065,574359,NA,0.22,0.49,NA,"{Verhecken, 2011 #712}",8/7/23,solitary,FALSE,Unknown,Unknown
101066,574360,NA,0.15,0.31,NA,"{Verhecken, 2011 #712}",8/7/23,solitary,FALSE,Unknown,Unknown
101067,574364,NA,2.77,4.25,NA,"{Verhecken, 2011 #712}",8/7/23,solitary,FALSE,Unknown,Unknown
101068,574366,NA,1.61,2.55,NA,"{Verhecken, 2011 #712}",8/7/23,solitary,FALSE,Unknown,Unknown
101069,574371,NA,2.76,5.42,NA,"{Verhecken, 2011 #712}",8/7/23,solitary,FALSE,Unknown,Unknown
101070,574372,NA,3.32,6.52,NA,"{Verhecken, 2011 #712}",8/7/23,solitary,FALSE,Unknown,Unknown
101071,592801,NA,1.4,1.2,NA,10.1080/03014223.1979.10428396,8/7/23,solitary,TRUE,Unknown,Unknown
101072,592804,1.175,0.65,0.35,NA,10.1080/03014223.1979.10428396,8/7/23,solitary,TRUE,Unknown,Unknown
101073,592808,NA,10.2,10.1,NA,10.1080/03014223.1979.10428396,8/7/23,solitary,TRUE,Unknown,Unknown
101074,592809,NA,0.95,0.8,NA,10.1080/03014223.1979.10428396,8/7/23,solitary,TRUE,Unknown,Unknown
101075,592815,NA,0.23,0.2,NA,10.1080/03014223.1979.10428396,8/7/23,solitary,TRUE,Unknown,Unknown
101076,592816,NA,0.39,0.4,NA,10.1080/03014223.1979.10428396,8/7/23,solitary,TRUE,Unknown,Unknown
101077,594177,NA,1.7,2.06,NA,"{Vilvens, 2012 #688}",8/7/23,solitary,FALSE,Unknown,Unknown
101078,596451,NA,2.38,2.45,NA,"{Vilvens, 2012 #688}",8/7/23,solitary,FALSE,Unknown,Unknown
101079,596452,NA,0.29,0.3,NA,"{Vilvens, 2012 #688}",8/7/23,solitary,FALSE,Unknown,Unknown
101080,596454,NA,0.43,0.48,NA,"{Ahyong, 2023 #23}",8/7/23,solitary,FALSE,Unknown,Unknown
101081,596458,NA,0.64,0.64,NA,"{Vilvens, 2012 #688}",8/7/23,solitary,FALSE,Unknown,Unknown
101082,596463,NA,0.51,0.62,NA,"{Vilvens, 2012 #688}",8/7/23,solitary,FALSE,Unknown,Unknown
101083,596464,NA,0.4,0.45,NA,"{Vilvens, 2012 #688}",8/7/23,solitary,FALSE,Unknown,Unknown
101084,719263,NA,0.45,NA,NA,"{Laseron, 1958 #687}",8/7/23,solitary,FALSE,Unknown,Unknown
101085,719435,NA,0.3,NA,NA,"{Laseron, 1958 #687}",8/7/23,solitary,FALSE,Unknown,Unknown
101086,719436,NA,0.25,NA,NA,"{Laseron, 1958 #687}",8/7/23,solitary,FALSE,Unknown,Unknown
101087,719443,NA,0.6,NA,NA,"{Laseron, 1958 #687}",8/7/23,solitary,FALSE,Unknown,Unknown
101088,719453,NA,0.29,NA,NA,"{Laseron, 1958 #687}",8/7/23,solitary,FALSE,Unknown,Unknown
101089,719454,NA,0.17,NA,NA,"{Laseron, 1958 #687}",8/7/23,solitary,FALSE,Unknown,Unknown
101090,719456,NA,0.13,NA,NA,"{Laseron, 1958 #687}",8/7/23,solitary,FALSE,Unknown,Unknown
101091,719459,NA,0.41,NA,NA,"{Laseron, 1958 #687}",8/7/23,solitary,FALSE,Unknown,Unknown
101092,719461,NA,0.35,NA,NA,"{Laseron, 1958 #687}",8/7/23,solitary,FALSE,Unknown,Unknown
101093,719462,NA,0.22,NA,NA,"{Laseron, 1958 #687}",8/7/23,solitary,FALSE,Unknown,Unknown
101094,719464,NA,0.19,NA,NA,"{Laseron, 1958 #687}",8/7/23,solitary,FALSE,Unknown,Unknown
101095,719673,NA,0.66,1.76,NA,"{Rehder, 1973 #604}",8/7/23,solitary,FALSE,Unknown,Unknown
101096,881106,,,3.3,,"{Poppe, 2023 #76}",8/16/23,solitary,FALSE,Unknown,Unknown
101097,467143,,3.048,3.81,,"{Menke, 1843 #760}",8/16/23,solitary,FALSE,Unknown,Unknown
101098,580401,,,1.6,,"{Poppe, 2023 #76}",8/16/23,solitary,FALSE,Unknown,Unknown
101099,467151,,3.175,2.54,,"{Swainson, 1855 #761}",8/16/23,solitary,FALSE,Unknown,Unknown
101100,467321,,1.08,1.4,,"{Marshall, 1995 #759}",8/16/23,solitary,FALSE,Unknown,Unknown
101101,467153,,1.59,1.7,,"{Vilvens, 2009 #716}",8/16/23,solitary,FALSE,Unknown,Unknown
101102,598160,,2.1,2.18,,"{Vilvens, 2009 #716}",8/16/23,solitary,FALSE,Unknown,Unknown
101103,467155,,1.54,2.01,,"{Vilvens, 2009 #716}",8/16/23,solitary,FALSE,Unknown,Unknown
101104,880992,,,1.1,,"{Marshall, 1995 #759}",8/16/23,solitary,FALSE,Unknown,Unknown
101105,865123,,0.3,0.35,,"{Barnard, 1963 #30}",8/16/23,solitary,FALSE,Unknown,Unknown
101106,719701,,5.4,7.05,,10.1093/mollus/54.2.215,8/16/23,solitary,TRUE,Unknown,Unknown
101107,719700,,0.81,0.625,,10.1093/mollus/54.2.215,8/16/23,solitary,TRUE,Unknown,Unknown
101108,467156,,1.7,2,,"{Smith, 1906 #522}",8/16/23,solitary,FALSE,Unknown,Unknown
101109,1023124,,,1.6,,10.1111/j.1558-5646.2012.01580.x,8/16/23,solitary,TRUE,Unknown,Unknown
101110,747942,,,3,,"{Poppe, 2023 #76}",8/16/23,solitary,FALSE,Unknown,Unknown
